game_id,h_team,a_team,minutes,h_goals,a_goals,home1,home2,home3,home4,away1,away2,away3,away4
4,USA,France,2.501898858,5,2,USA_p6,USA_p10,USA_p3,USA_p8,France_p1,France_p12,France_p2,France_p6
4,USA,France,3.709156471,4,6,USA_p8,USA_p4,USA_p7,USA_p2,France_p7,France_p9,France_p10,France_p8
4,USA,France,1.36700191,0,0,USA_p6,USA_p9,USA_p2,USA_p12,France_p5,France_p3,France_p8,France_p2
5,USA,Denmark,0.3319350909,3,0,USA_p5,USA_p7,USA_p10,USA_p3,Denmark_p1,Denmark_p10,Denmark_p6,Denmark_p12
5,USA,Denmark,0.580698734,0,2,USA_p12,USA_p10,USA_p7,USA_p5,Denmark_p9,Denmark_p6,Denmark_p12,Denmark_p8
5,USA,Denmark,7.890072051,11,15,USA_p5,USA_p8,USA_p11,USA_p4,Denmark_p8,Denmark_p9,Denmark_p6,Denmark_p2
5,USA,Denmark,2.000641451,3,2,USA_p9,USA_p1,USA_p7,USA_p5,Denmark_p10,Denmark_p12,Denmark_p1,Denmark_p7
5,USA,Denmark,2.661622169,3,4,USA_p9,USA_p1,USA_p4,USA_p2,Denmark_p6,Denmark_p11,Denmark_p5,Denmark_p4
5,USA,Denmark,1.942431766,2,3,USA_p9,USA_p10,USA_p5,USA_p11,Denmark_p12,Denmark_p2,Denmark_p9,Denmark_p5
5,USA,Denmark,4.08367331,3,8,USA_p9,USA_p5,USA_p10,USA_p2,Denmark_p9,Denmark_p4,Denmark_p2,Denmark_p8
5,USA,Denmark,4.936857699,2,6,USA_p6,USA_p10,USA_p2,USA_p1,Denmark_p1,Denmark_p7,Denmark_p8,Denmark_p2
5,USA,Denmark,2.1631546,3,6,USA_p2,USA_p6,USA_p3,USA_p4,Denmark_p2,Denmark_p4,Denmark_p3,Denmark_p7
5,USA,Denmark,2.530224144,5,2,USA_p11,USA_p8,USA_p4,USA_p5,Denmark_p2,Denmark_p10,Denmark_p7,Denmark_p11
5,USA,Denmark,0.58580772,3,1,USA_p3,USA_p7,USA_p4,USA_p12,Denmark_p2,Denmark_p1,Denmark_p8,Denmark_p9
5,USA,Denmark,1.056646009,2,2,USA_p2,USA_p4,USA_p12,USA_p10,Denmark_p2,Denmark_p4,Denmark_p5,Denmark_p6
5,USA,Denmark,1.236235255,1,2,USA_p9,USA_p4,USA_p11,USA_p2,Denmark_p6,Denmark_p1,Denmark_p2,Denmark_p3
6,USA,Sweden,6.340474782,16,8,USA_p7,USA_p3,USA_p8,USA_p4,Sweden_p5,Sweden_p9,Sweden_p1,Sweden_p7
6,USA,Sweden,1.796510614,4,3,USA_p10,USA_p1,USA_p12,USA_p6,Sweden_p6,Sweden_p8,Sweden_p12,Sweden_p5
6,USA,Sweden,3.72557097,7,6,USA_p11,USA_p10,USA_p12,USA_p6,Sweden_p5,Sweden_p8,Sweden_p11,Sweden_p12
6,USA,Sweden,3.638784914,10,6,USA_p5,USA_p12,USA_p7,USA_p10,Sweden_p5,Sweden_p12,Sweden_p9,Sweden_p10
6,USA,Sweden,4.518647062,12,6,USA_p8,USA_p7,USA_p6,USA_p12,Sweden_p2,Sweden_p3,Sweden_p9,Sweden_p5
6,USA,Sweden,3.858584172,10,5,USA_p11,USA_p3,USA_p4,USA_p9,Sweden_p2,Sweden_p12,Sweden_p5,Sweden_p9
6,USA,Sweden,2.900299815,6,6,USA_p10,USA_p5,USA_p2,USA_p9,Sweden_p5,Sweden_p11,Sweden_p8,Sweden_p3
6,USA,Sweden,3.226208033,13,4,USA_p10,USA_p7,USA_p9,USA_p3,Sweden_p5,Sweden_p8,Sweden_p3,Sweden_p6
6,USA,Sweden,1.994919639,5,0,USA_p7,USA_p3,USA_p6,USA_p8,Sweden_p3,Sweden_p5,Sweden_p1,Sweden_p6
7,USA,Brazil,1.74071373,6,0,USA_p6,USA_p12,USA_p9,USA_p1,Brazil_p10,Brazil_p6,Brazil_p2,Brazil_p11
7,USA,Brazil,2.658872229,2,4,USA_p5,USA_p6,USA_p7,USA_p1,Brazil_p10,Brazil_p12,Brazil_p5,Brazil_p1
7,USA,Brazil,3.603779911,6,6,USA_p11,USA_p9,USA_p1,USA_p4,Brazil_p2,Brazil_p9,Brazil_p1,Brazil_p7
7,USA,Brazil,2.111251544,5,1,USA_p11,USA_p6,USA_p5,USA_p7,Brazil_p2,Brazil_p10,Brazil_p11,Brazil_p6
7,USA,Brazil,4.277659908,4,2,USA_p6,USA_p2,USA_p3,USA_p4,Brazil_p7,Brazil_p5,Brazil_p2,Brazil_p11
7,USA,Brazil,1.441421068,3,1,USA_p10,USA_p1,USA_p6,USA_p11,Brazil_p1,Brazil_p10,Brazil_p3,Brazil_p7
7,USA,Brazil,1.94327104,5,3,USA_p1,USA_p6,USA_p7,USA_p2,Brazil_p2,Brazil_p9,Brazil_p12,Brazil_p4
7,USA,Brazil,2.716546993,4,4,USA_p11,USA_p2,USA_p4,USA_p6,Brazil_p11,Brazil_p3,Brazil_p2,Brazil_p5
7,USA,Brazil,7.49791726,15,7,USA_p2,USA_p8,USA_p4,USA_p7,Brazil_p5,Brazil_p6,Brazil_p2,Brazil_p11
7,USA,Brazil,4.008566316,7,5,USA_p8,USA_p12,USA_p4,USA_p7,Brazil_p1,Brazil_p7,Brazil_p2,Brazil_p11
8,USA,Columbia,1.847881658,4,2,USA_p9,USA_p8,USA_p12,USA_p10,Columbia_p7,Columbia_p2,Columbia_p12,Columbia_p3
8,USA,Columbia,0.6416908123,0,1,USA_p3,USA_p9,USA_p10,USA_p5,Columbia_p9,Columbia_p8,Columbia_p10,Columbia_p4
8,USA,Columbia,3.73694977,10,5,USA_p12,USA_p9,USA_p2,USA_p6,Columbia_p10,Columbia_p5,Columbia_p12,Columbia_p7
8,USA,Columbia,2.193194612,5,2,USA_p7,USA_p1,USA_p6,USA_p8,Columbia_p11,Columbia_p6,Columbia_p2,Columbia_p9
8,USA,Columbia,0.8866795016,0,1,USA_p11,USA_p3,USA_p10,USA_p4,Columbia_p2,Columbia_p4,Columbia_p10,Columbia_p11
8,USA,Columbia,6.84086291,14,10,USA_p12,USA_p6,USA_p2,USA_p9,Columbia_p7,Columbia_p6,Columbia_p5,Columbia_p3
8,USA,Columbia,3.073067984,3,3,USA_p11,USA_p4,USA_p2,USA_p6,Columbia_p9,Columbia_p8,Columbia_p10,Columbia_p3
8,USA,Columbia,3.546994108,5,3,USA_p6,USA_p2,USA_p8,USA_p5,Columbia_p10,Columbia_p3,Columbia_p8,Columbia_p4
8,USA,Columbia,1.431425349,0,2,USA_p7,USA_p5,USA_p6,USA_p1,Columbia_p2,Columbia_p12,Columbia_p5,Columbia_p1
8,USA,Columbia,2.099008847,3,6,USA_p6,USA_p11,USA_p9,USA_p5,Columbia_p9,Columbia_p7,Columbia_p8,Columbia_p10
8,USA,Columbia,1.157092144,2,3,USA_p11,USA_p5,USA_p9,USA_p6,Columbia_p7,Columbia_p3,Columbia_p12,Columbia_p9
8,USA,Columbia,1.69853261,3,0,USA_p6,USA_p3,USA_p9,USA_p2,Columbia_p10,Columbia_p9,Columbia_p6,Columbia_p5
8,USA,Columbia,2.846619693,3,1,USA_p10,USA_p11,USA_p4,USA_p2,Columbia_p11,Columbia_p9,Columbia_p2,Columbia_p1
9,USA,Poland,2.448657358,3,6,USA_p1,USA_p10,USA_p6,USA_p11,Poland_p8,Poland_p3,Poland_p6,Poland_p1
9,USA,Poland,5.320544669,4,6,USA_p2,USA_p6,USA_p12,USA_p9,Poland_p3,Poland_p1,Poland_p4,Poland_p12
9,USA,Poland,2.166792386,4,3,USA_p2,USA_p4,USA_p9,USA_p3,Poland_p3,Poland_p6,Poland_p8,Poland_p7
9,USA,Poland,3.517325222,4,5,USA_p6,USA_p2,USA_p7,USA_p5,Poland_p8,Poland_p12,Poland_p9,Poland_p11
9,USA,Poland,1.248043947,1,0,USA_p9,USA_p7,USA_p3,USA_p10,Poland_p2,Poland_p4,Poland_p11,Poland_p10
9,USA,Poland,4.166014048,4,3,USA_p12,USA_p2,USA_p6,USA_p10,Poland_p3,Poland_p12,Poland_p2,Poland_p8
9,USA,Poland,3.427266705,6,2,USA_p1,USA_p4,USA_p7,USA_p3,Poland_p3,Poland_p10,Poland_p2,Poland_p6
9,USA,Poland,3.669423418,7,6,USA_p7,USA_p8,USA_p2,USA_p9,Poland_p8,Poland_p4,Poland_p7,Poland_p11
9,USA,Poland,3.854192329,7,6,USA_p9,USA_p1,USA_p10,USA_p2,Poland_p3,Poland_p4,Poland_p5,Poland_p12
9,USA,Poland,1.319808651,3,2,USA_p10,USA_p6,USA_p12,USA_p8,Poland_p11,Poland_p12,Poland_p5,Poland_p6
9,USA,Poland,0.8619312668,6,0,USA_p8,USA_p9,USA_p12,USA_p7,Poland_p11,Poland_p1,Poland_p6,Poland_p10
10,USA,Argentina,3.82834439,7,7,USA_p2,USA_p7,USA_p4,USA_p12,Argentina_p7,Argentina_p4,Argentina_p8,Argentina_p2
10,USA,Argentina,1.189235312,1,0,USA_p9,USA_p11,USA_p7,USA_p10,Argentina_p7,Argentina_p3,Argentina_p6,Argentina_p2
10,USA,Argentina,1.759518756,5,3,USA_p10,USA_p7,USA_p2,USA_p8,Argentina_p1,Argentina_p8,Argentina_p10,Argentina_p12
10,USA,Argentina,4.742635485,9,4,USA_p6,USA_p2,USA_p12,USA_p10,Argentina_p8,Argentina_p6,Argentina_p2,Argentina_p10
10,USA,Argentina,1.614621051,2,0,USA_p3,USA_p7,USA_p5,USA_p6,Argentina_p9,Argentina_p7,Argentina_p11,Argentina_p3
10,USA,Argentina,4.606518474,7,3,USA_p6,USA_p5,USA_p7,USA_p12,Argentina_p10,Argentina_p1,Argentina_p8,Argentina_p7
10,USA,Argentina,2.726490405,6,3,USA_p2,USA_p9,USA_p4,USA_p3,Argentina_p6,Argentina_p7,Argentina_p12,Argentina_p3
10,USA,Argentina,2.809883295,5,4,USA_p10,USA_p5,USA_p7,USA_p1,Argentina_p12,Argentina_p3,Argentina_p9,Argentina_p7
10,USA,Argentina,3.139066413,9,5,USA_p5,USA_p4,USA_p8,USA_p2,Argentina_p12,Argentina_p2,Argentina_p6,Argentina_p7
10,USA,Argentina,3.216310473,9,1,USA_p6,USA_p5,USA_p7,USA_p11,Argentina_p7,Argentina_p12,Argentina_p11,Argentina_p3
10,USA,Argentina,2.367375947,4,2,USA_p7,USA_p8,USA_p12,USA_p10,Argentina_p1,Argentina_p4,Argentina_p2,Argentina_p12
11,USA,Chile,0.8472153057,2,2,USA_p4,USA_p6,USA_p2,USA_p11,Chile_p6,Chile_p7,Chile_p2,Chile_p11
11,USA,Chile,5.036438166,14,9,USA_p12,USA_p6,USA_p1,USA_p7,Chile_p3,Chile_p4,Chile_p12,Chile_p2
11,USA,Chile,1.827913845,5,1,USA_p7,USA_p12,USA_p4,USA_p1,Chile_p7,Chile_p9,Chile_p4,Chile_p5
11,USA,Chile,2.529807371,9,5,USA_p10,USA_p3,USA_p6,USA_p12,Chile_p8,Chile_p7,Chile_p11,Chile_p6
11,USA,Chile,0.6998712382,5,0,USA_p10,USA_p7,USA_p8,USA_p1,Chile_p6,Chile_p4,Chile_p12,Chile_p9
11,USA,Chile,2.050991057,1,3,USA_p5,USA_p2,USA_p10,USA_p9,Chile_p9,Chile_p6,Chile_p12,Chile_p2
11,USA,Chile,3.107674743,8,5,USA_p3,USA_p6,USA_p8,USA_p10,Chile_p3,Chile_p7,Chile_p12,Chile_p6
11,USA,Chile,1.090116097,1,2,USA_p11,USA_p6,USA_p9,USA_p5,Chile_p7,Chile_p8,Chile_p4,Chile_p1
11,USA,Chile,4.064304981,9,3,USA_p8,USA_p5,USA_p12,USA_p4,Chile_p2,Chile_p7,Chile_p3,Chile_p8
11,USA,Chile,8,14,11,USA_p4,USA_p9,USA_p12,USA_p2,Chile_p8,Chile_p6,Chile_p7,Chile_p9
11,USA,Chile,2.745667197,4,0,USA_p12,USA_p8,USA_p5,USA_p6,Chile_p10,Chile_p8,Chile_p5,Chile_p4
12,Japan,USA,1.194012241,0,2,Japan_p12,Japan_p1,Japan_p5,Japan_p3,USA_p10,USA_p11,USA_p6,USA_p5
12,Japan,USA,3.216520882,2,8,Japan_p3,Japan_p5,Japan_p11,Japan_p4,USA_p5,USA_p3,USA_p9,USA_p7
12,Japan,USA,0.8096782698,1,0,Japan_p6,Japan_p8,Japan_p5,Japan_p1,USA_p9,USA_p4,USA_p2,USA_p3
12,Japan,USA,1.470825215,4,0,Japan_p7,Japan_p4,Japan_p9,Japan_p1,USA_p6,USA_p3,USA_p7,USA_p5
12,Japan,USA,2.584984553,2,2,Japan_p10,Japan_p1,Japan_p11,Japan_p5,USA_p10,USA_p5,USA_p3,USA_p7
12,Japan,USA,2.055878004,4,3,Japan_p4,Japan_p2,Japan_p8,Japan_p7,USA_p10,USA_p7,USA_p5,USA_p11
12,Japan,USA,3.444744899,4,4,Japan_p9,Japan_p4,Japan_p1,Japan_p12,USA_p2,USA_p3,USA_p10,USA_p6
12,Japan,USA,0.9237605896,1,2,Japan_p2,Japan_p1,Japan_p5,Japan_p10,USA_p5,USA_p9,USA_p10,USA_p1
12,Japan,USA,1.075417243,3,3,Japan_p6,Japan_p8,Japan_p10,Japan_p3,USA_p5,USA_p3,USA_p6,USA_p7
12,Japan,USA,2.15369156,0,2,Japan_p5,Japan_p8,Japan_p12,Japan_p1,USA_p5,USA_p4,USA_p8,USA_p12
12,Japan,USA,3.626373157,9,5,Japan_p12,Japan_p3,Japan_p4,Japan_p11,USA_p6,USA_p4,USA_p3,USA_p11
12,Japan,USA,2.49698308,4,5,Japan_p12,Japan_p8,Japan_p3,Japan_p7,USA_p6,USA_p8,USA_p9,USA_p1
12,Japan,USA,3.513472123,4,6,Japan_p2,Japan_p4,Japan_p1,Japan_p9,USA_p8,USA_p6,USA_p3,USA_p10
12,Japan,USA,1.482930667,1,3,Japan_p1,Japan_p5,Japan_p9,Japan_p4,USA_p3,USA_p10,USA_p7,USA_p5
12,Japan,USA,1.82714808,3,3,Japan_p3,Japan_p8,Japan_p6,Japan_p7,USA_p1,USA_p7,USA_p4,USA_p3
12,Japan,USA,0.1235794362,0,0,Japan_p11,Japan_p4,Japan_p8,Japan_p12,USA_p7,USA_p9,USA_p8,USA_p5
13,Japan,Great.Britain,0.8134069103,0,0,Japan_p2,Japan_p5,Japan_p8,Japan_p10,Great.Britain_p9,Great.Britain_p4,Great.Britain_p7,Great.Britain_p10
13,Japan,Great.Britain,2.581760326,3,3,Japan_p3,Japan_p7,Japan_p5,Japan_p10,Great.Britain_p7,Great.Britain_p10,Great.Britain_p5,Great.Britain_p1
13,Japan,Great.Britain,0.6939447103,2,1,Japan_p6,Japan_p5,Japan_p3,Japan_p8,Great.Britain_p7,Great.Britain_p1,Great.Britain_p12,Great.Britain_p3
13,Japan,Great.Britain,1.905457889,7,3,Japan_p2,Japan_p4,Japan_p6,Japan_p10,Great.Britain_p4,Great.Britain_p7,Great.Britain_p10,Great.Britain_p5
13,Japan,Great.Britain,1.048351511,2,1,Japan_p10,Japan_p2,Japan_p1,Japan_p5,Great.Britain_p6,Great.Britain_p12,Great.Britain_p9,Great.Britain_p8
13,Japan,Great.Britain,4.856754552,7,5,Japan_p11,Japan_p8,Japan_p4,Japan_p5,Great.Britain_p5,Great.Britain_p9,Great.Britain_p10,Great.Britain_p7
13,Japan,Great.Britain,2.766085548,5,3,Japan_p10,Japan_p5,Japan_p7,Japan_p12,Great.Britain_p4,Great.Britain_p5,Great.Britain_p3,Great.Britain_p1
13,Japan,Great.Britain,0.5446925662,0,1,Japan_p10,Japan_p3,Japan_p2,Japan_p7,Great.Britain_p9,Great.Britain_p3,Great.Britain_p10,Great.Britain_p6
13,Japan,Great.Britain,1.774545321,5,3,Japan_p3,Japan_p5,Japan_p8,Japan_p6,Great.Britain_p6,Great.Britain_p3,Great.Britain_p5,Great.Britain_p10
13,Japan,Great.Britain,3.792190825,2,10,Japan_p5,Japan_p3,Japan_p1,Japan_p11,Great.Britain_p12,Great.Britain_p9,Great.Britain_p4,Great.Britain_p6
13,Japan,Great.Britain,1.31910232,0,4,Japan_p4,Japan_p5,Japan_p8,Japan_p9,Great.Britain_p2,Great.Britain_p11,Great.Britain_p12,Great.Britain_p9
13,Japan,Great.Britain,1.044937721,4,1,Japan_p10,Japan_p7,Japan_p4,Japan_p11,Great.Britain_p9,Great.Britain_p10,Great.Britain_p7,Great.Britain_p11
13,Japan,Great.Britain,2.74514545,7,3,Japan_p5,Japan_p1,Japan_p4,Japan_p11,Great.Britain_p10,Great.Britain_p5,Great.Britain_p3,Great.Britain_p6
13,Japan,Great.Britain,6.113624351,13,8,Japan_p12,Japan_p8,Japan_p3,Japan_p7,Great.Britain_p11,Great.Britain_p9,Great.Britain_p4,Great.Britain_p10
14,Japan,Canada,1.875723577,8,3,Japan_p1,Japan_p4,Japan_p6,Japan_p9,Canada_p3,Canada_p2,Canada_p11,Canada_p1
14,Japan,Canada,2.261663829,5,3,Japan_p5,Japan_p4,Japan_p2,Japan_p7,Canada_p6,Canada_p11,Canada_p3,Canada_p9
14,Japan,Canada,1.977439831,7,3,Japan_p6,Japan_p4,Japan_p11,Japan_p1,Canada_p10,Canada_p9,Canada_p3,Canada_p4
14,Japan,Canada,6.255735726,22,2,Japan_p10,Japan_p12,Japan_p11,Japan_p4,Canada_p6,Canada_p12,Canada_p7,Canada_p4
14,Japan,Canada,2.582410772,14,5,Japan_p3,Japan_p4,Japan_p9,Japan_p12,Canada_p12,Canada_p5,Canada_p8,Canada_p2
14,Japan,Canada,2.536900185,6,1,Japan_p8,Japan_p12,Japan_p7,Japan_p10,Canada_p3,Canada_p2,Canada_p8,Canada_p6
14,Japan,Canada,1.31604215,3,2,Japan_p5,Japan_p4,Japan_p11,Japan_p7,Canada_p6,Canada_p2,Canada_p8,Canada_p11
14,Japan,Canada,3.033771239,5,2,Japan_p8,Japan_p12,Japan_p3,Japan_p7,Canada_p12,Canada_p4,Canada_p6,Canada_p8
14,Japan,Canada,1.482267717,2,0,Japan_p3,Japan_p6,Japan_p5,Japan_p1,Canada_p11,Canada_p2,Canada_p4,Canada_p5
14,Japan,Canada,4.647118211,4,3,Japan_p5,Japan_p1,Japan_p7,Japan_p6,Canada_p11,Canada_p3,Canada_p1,Canada_p2
14,Japan,Canada,1.750429854,5,1,Japan_p10,Japan_p12,Japan_p8,Japan_p7,Canada_p3,Canada_p12,Canada_p1,Canada_p9
14,Japan,Canada,2.280496909,1,3,Japan_p3,Japan_p1,Japan_p2,Japan_p5,Canada_p7,Canada_p2,Canada_p9,Canada_p3
15,Japan,France,1.274964648,2,1,Japan_p4,Japan_p6,Japan_p12,Japan_p3,France_p7,France_p11,France_p10,France_p3
15,Japan,France,2.762124404,3,5,Japan_p9,Japan_p10,Japan_p3,Japan_p8,France_p10,France_p9,France_p3,France_p7
15,Japan,France,1.292169288,2,3,Japan_p3,Japan_p1,Japan_p6,Japan_p5,France_p11,France_p6,France_p1,France_p5
15,Japan,France,1.223161001,1,1,Japan_p10,Japan_p5,Japan_p7,Japan_p12,France_p4,France_p8,France_p6,France_p10
15,Japan,France,1.485101919,0,2,Japan_p11,Japan_p4,Japan_p3,Japan_p5,France_p7,France_p8,France_p10,France_p4
15,Japan,France,3.754466637,3,2,Japan_p3,Japan_p8,Japan_p12,Japan_p7,France_p4,France_p8,France_p7,France_p9
15,Japan,France,4.174087591,8,6,Japan_p12,Japan_p4,Japan_p10,Japan_p11,France_p10,France_p6,France_p4,France_p1
15,Japan,France,2.777474761,3,5,Japan_p1,Japan_p7,Japan_p12,Japan_p5,France_p10,France_p5,France_p8,France_p3
15,Japan,France,1.335577426,3,0,Japan_p9,Japan_p8,Japan_p3,Japan_p1,France_p5,France_p7,France_p2,France_p6
15,Japan,France,2.057170633,2,5,Japan_p8,Japan_p2,Japan_p3,Japan_p5,France_p5,France_p6,France_p9,France_p10
15,Japan,France,3.826921595,5,3,Japan_p1,Japan_p5,Japan_p3,Japan_p6,France_p2,France_p8,France_p12,France_p7
15,Japan,France,1.970898169,6,2,Japan_p2,Japan_p3,Japan_p12,Japan_p4,France_p12,France_p11,France_p6,France_p4
15,Japan,France,1.261802643,1,0,Japan_p1,Japan_p3,Japan_p2,Japan_p5,France_p4,France_p6,France_p12,France_p2
15,Japan,France,2.804079286,8,5,Japan_p10,Japan_p6,Japan_p5,Japan_p8,France_p9,France_p1,France_p6,France_p5
16,Japan,Denmark,4.459980711,4,8,Japan_p10,Japan_p2,Japan_p3,Japan_p8,Denmark_p10,Denmark_p9,Denmark_p3,Denmark_p6
16,Japan,Denmark,0.8363255672,3,2,Japan_p9,Japan_p8,Japan_p3,Japan_p4,Denmark_p10,Denmark_p12,Denmark_p7,Denmark_p2
16,Japan,Denmark,0.3063185419,0,2,Japan_p8,Japan_p7,Japan_p5,Japan_p12,Denmark_p10,Denmark_p5,Denmark_p9,Denmark_p6
16,Japan,Denmark,4.610590174,7,4,Japan_p6,Japan_p7,Japan_p10,Japan_p1,Denmark_p4,Denmark_p2,Denmark_p9,Denmark_p3
16,Japan,Denmark,1.730161997,3,3,Japan_p5,Japan_p4,Japan_p10,Japan_p11,Denmark_p3,Denmark_p11,Denmark_p12,Denmark_p7
16,Japan,Denmark,0.8134846494,2,0,Japan_p7,Japan_p5,Japan_p10,Japan_p3,Denmark_p3,Denmark_p4,Denmark_p10,Denmark_p7
